symptom,description,severityLevel,precautions
Fever,"A number of everyday factors like climate shifts, fatigue, or allergies may lead to Fever. Early attention helps recovery.",Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.
Headache,"Headache can be linked to tiredness, digestive imbalance, or temporary internal irritation. Proper care usually improves the condition.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.
Migraine,"Migraine may arise from stress, poor nutrition, or viral illnesses. Monitoring symptoms can help in early understanding.",Moderate,"Avoid stress and rest your body until improvement is seen. If symptoms worsen, consult a doctor."
Cough,Sometimes Cough happens when the immune system is responding to minor infections or environmental factors.,Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.
Dry Cough,"Dry Cough can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.
Wet Cough,"Wet Cough can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.
Cold,Sometimes Cold happens when the immune system is responding to minor infections or environmental factors.,Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.
Sore Throat,"Sore Throat often develops because of irritation, lack of rest, or mild health disturbances. Identifying triggers helps in controlling it.",Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.
Runny Nose,Sometimes Runny Nose happens when the immune system is responding to minor infections or environmental factors.,Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.
Nasal Conggestion,"Nasal Conggestion may arise from stress, poor nutrition, or viral illnesses. Monitoring symptoms can help in early understanding.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.
Sinus Pressure,"Sinus Pressure often develops because of irritation, lack of rest, or mild health disturbances. Identifying triggers helps in controlling it.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.
Sinus Pain,Sometimes Sinus Pain happens when the immune system is responding to minor infections or environmental factors.,Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.
Chest Pain,"Chest Pain can be linked to tiredness, digestive imbalance, or temporary internal irritation. Proper care usually improves the condition.",Severe,"Keep calm, sit upright, and get medical help quickly. Consult a doctor immediately."
Chest Tightness,Sometimes Chest Tightness happens when the immune system is responding to minor infections or environmental factors.,Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.
Shortness of Breath,"Many people experience Shortness of Breath when their body reacts to inflammation, dehydration, or sudden lifestyle changes.",Severe,"Keep calm, sit upright, and get medical help quickly. Consult a doctor immediately."
Breathlessness,Sometimes Breathlessness happens when the immune system is responding to minor infections or environmental factors.,Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.
Fatigue,"Fatigue can be linked to tiredness, digestive imbalance, or temporary internal irritation. Proper care usually improves the condition.",Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.
Weakness,"Weakness can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.
Body Ache,Sometimes Body Ache happens when the immune system is responding to minor infections or environmental factors.,Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.
Joint Pain,Sometimes Joint Pain happens when the immune system is responding to minor infections or environmental factors.,Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.
Back Pain,"Back Pain can be linked to tiredness, digestive imbalance, or temporary internal irritation. Proper care usually improves the condition.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.
Neck Stiffness,Sometimes Neck Stiffness happens when the immune system is responding to minor infections or environmental factors.,Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.
Shoulder Pain,"Many people experience Shoulder Pain when their body reacts to inflammation, dehydration, or sudden lifestyle changes.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.
Knee Pain,"Knee Pain can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.
Hip Pain,"Hip Pain often develops because of irritation, lack of rest, or mild health disturbances. Identifying triggers helps in controlling it.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.
Abdominal Pain,"A number of everyday factors like climate shifts, fatigue, or allergies may lead to Abdominal Pain. Early attention helps recovery.",Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.
Lower Abdominal Pain,"Lower Abdominal Pain can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.
Upper Abdominal Pain,"Many people experience Upper Abdominal Pain when their body reacts to inflammation, dehydration, or sudden lifestyle changes.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.
Nausea,"A number of everyday factors like climate shifts, fatigue, or allergies may lead to Nausea. Early attention helps recovery.",Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.
Vomiting,"Vomiting often develops because of irritation, lack of rest, or mild health disturbances. Identifying triggers helps in controlling it.",Moderate,"Avoid strenuous work and drink plenty of fluids. If symptoms worsen, consult a doctor."
Diarrhea,"Diarrhea often develops because of irritation, lack of rest, or mild health disturbances. Identifying triggers helps in controlling it.",Moderate,"Use doctor-prescribed medicines if the condition persists. If symptoms worsen, consult a doctor."
